MSI B660M-G Pro DDR4 Intel LGA 1700 microATX Motherboard,100,M-ATX,N,Y,N
ASRock B550 Phantom Gaming 4 AMD AM4 ATX Motherboard,115,ATX,N,Y,N
MSI B550M-VC PRO WiFi AMD AM4 microATX Motherboard,120,M-ATX,Y,Y,N
ASUS B550M-A Prime AMD AM4 microATX Motherboard,120,M-ATX,N,Y,N
ASRock B550 Pro4 AMD AM4 ATX Motherboard,125,ATX,N,Y,N
ASRock B550M-ITX/ac AMD AM4 Mini-ITX Motherboard,130,ITX,Y,Y,N
"ASUS B550M-A PRIME AC PS AMD AM4 microATX Motherboard",130,M-ATX,Y,Y,N
ASUS B660-PLUS Prime D4 Intel LGA 1700 ATX Motherboard,140,ATX,N,Y,N
ASUS B550-Plus Prime AMD AM4 ATX Motherboard,140,ATX,N,Y,N
ASUS B550M-A Prime WiFi II AMD AM4 microATX Motherboard,140,M-ATX,Y,Y,N
MSI B550-A Pro AMD AM4 ATX Motherboard,140,ATX,N,Y,N
ASUS B660M-A Prime D4 Intel LGA 1700 microATX Motherboard,140,M-ATX,N,Y,N
MSI B550-VC Pro AMD AM4 ATX Motherboard,140,ATX,N,Y,N
MSI B660M-A Pro DDR4 Intel LGA 1700 microATX Motherboard,140,M-ATX,N,Y,N
MSI B660-A Pro DDR4 Intel LGA 1700 ATX Motherboard,145,ATX,N,Y,N
MSI B660M-A Pro WiFi DDR4 Intel LGA 1700 microATX Motherboard,150,M-ATX,Y,Y,N
ASRock Z690 Pro RS DDR4 Intel LGA 1700 ATX Motherboard,150,ATX,N,Y,N
MSI B550 MPG Gaming Plus AMD AM4 ATX Motherboard,160,ATX,N,Y,N
Gigabyte B660M Gaming X AX DDR4 Intel LGA 1700 microATX Motherboard,160,M-ATX,Y,Y,N
ASUS B660M-A Prime WiFi D4 Intel LGA 1700 microATX Motherboard,160,M-ATX,Y,Y,N
Gigabyte B660M AORUS PRO AX DDR4 Intel LGA 1700 microATX Motherboard,160,M-ATX,Y,Y,N
MSI B550 MAG Tomahawk AMD AM4 ATX Motherboard,170,ATX,N,Y,N
ASUS B550-PLUS TUF Gaming WiFi II AMD AM4 ATX Motherboard,170,ATX,Y,Y,N
ASUS Z690M-PLUS Prime DDR4 Intel LGA 1700 microATX Motherboard,170,M-ATX,N,Y,N
MSI B660 MAG Mortar WiFi D4 Intel LGA 1700 microATX Motherboard,180,M-ATX,Y,Y,N
